Contracts,Trade Type,Qty,Entry Price,Realized P&L,Filled Price,Exit Type,Filled/Settlement Time(UTC+0),Create Time
SOLUSDT,BUY,5.70000000000000000000,146.47000000000000000000,-29.95554887000000000000,151.54000000000000000000,Trade,14:04 2025-07-06,14:04 2025-07-06
RUNEUSDT,BUY,562.90000000000000000000,1.30500000000000000000,-9.81939648000000000000,1.32100000000000000000,Trade,22:41 2025-07-04,22:41 2025-07-04
SOLUSDT,SELL,4.50000000000000000000,153.03000000000000000000,-21.40328656000000000000,148.46000000000000000000,Trade,14:00 2025-07-04,14:00 2025-07-04
ETHUSDT,SELL,0.26000000000000000000,2596.24000000000000000000,-13.42518376000000000000,2548.13000000000000000000,Trade,12:00 2025-07-04,12:00 2025-07-04
RUNEUSDT,SELL,556.50000000000000000000,1.38400000000000000000,11.86839202000000000000,1.40700000000000000000,Trade,05:34 2025-07-03,05:34 2025-07-03
SOLUSDT,BUY,5.20000000000000000000,149.09000000000000000000,-25.45891188000000000000,153.79000000000000000000,Trade,22:00 2025-07-02,22:00 2025-07-02
RUNEUSDT,SELL,570.50000000000000000000,1.35000000000000000000,15.04089020000000000000,1.37800000000000000000,Trade,16:16 2025-07-02,16:16 2025-07-02
RUNEUSDT,SELL,580.40000000000000000000,1.32600000000000000000,9.51815372000000000000,1.34400000000000000000,Trade,15:08 2025-07-02,15:08 2025-07-02
CVXUSDT,BUY,334.45000000000000000000,2.27135491000000000000,-1.56230325000000000000,2.27232206000000000000,Trade,12:02 2025-07-01,11:58 2025-07-01
SOLUSDT,SELL,5.70000000000000000000,157.33000000000000000000,-35.90698998000000000000,151.21000000000000000000,Trade,06:00 2025-07-01,06:00 2025-07-01
BTCUSDT,SELL,0.00700000000000000000,108650.10000000000000000000,-6.93165166000000000000,107778.90000000000000000000,Trade,06:41 2025-06-30,06:41 2025-06-30
CVXUSDT,SELL,379.24000000000000000000,2.44783990000000000000,-25.77964191000000000000,2.38264138000000000000,Trade,01:16 2025-06-30,01:16 2025-06-30
CVXUSDT,SELL,389.63000000000000000000,2.42882086000000000000,-17.15457746000000000000,2.38756320000000000000,Trade,14:02 2025-06-29,14:02 2025-06-29
SOLUSDT,SELL,6.50000000000000000000,143.54000000000000000000,34.23285037000000000000,149.01000000000000000000,Trade,16:06 2025-06-28,16:06 2025-06-28
RUNEUSDT,BUY,610.70000000000000000000,1.30200000000000000000,-14.92846990000000000000,1.32500000000000000000,Trade,20:33 2025-06-27,20:33 2025-06-27
RUNEUSDT,BUY,718.10000000000000000000,1.30900000000000000000,-14.70043907000000000000,1.32800000000000000000,Trade,19:24 2025-06-26,19:24 2025-06-26
CVXUSDT,BUY,393.28000000000000000000,2.44100000000000000000,-20.79200253000000000000,2.49118115000000000000,Trade,01:34 2025-06-26,01:34 2025-06-26
